GAME_ID,PERIOD,HOME_STARTERS,AWAY_STARTERS
22400051,3,"1627747, 1628386, 1629636, 1630171, 1630596","202685, 1627763, 1629673, 1641731, 1642259"
22400051,4,"1628378, 1629731, 1630171, 1630241, 1630596","1626158, 1630215, 1630264, 1631098, 1642267"
22400052,1,"202699, 203501, 1630595, 1631093, 1631105","201572, 203081, 203507, 1627752, 1641748"
22400052,2,"203501, 1630191, 1630595, 1631323, 1641842","201572, 203081, 1626171, 1629018, 1631260"
22400052,3,"202699, 203501, 1630595, 1631093, 1631105","201572, 203081, 203507, 1627752, 1641748"
22400052,4,"202699, 203501, 1630595, 1631093, 1631105","201572, 203081, 1626171, 1629018, 1631260"
22400053,1,"1626157, 1628384, 1628404, 1628969, 1628973","203484, 1628976, 1630532, 1630591, 1641783"
22400053,2,"1626157, 1626166, 1628404, 1628969, 1630540","1628371, 1629021, 1630175, 1630591, 1641710"
22400053,3,"1626157, 1628384, 1628404, 1628969, 1628973","203484, 1628976, 1630532, 1630591, 1641783"
22400053,4,"1626157, 1626166, 1628384, 1628404, 1628969, 1630540","1629021, 1630532, 1630591, 1641710, 1641724"
22400054,1,"1627751, 1629628, 1630534, 1630567, 1642266","1626167, 1627783, 1629614, 1630169, 1631097"
22400054,2,"1628449, 1630567, 1642347, 1642367, 1642419","204456, 1627783, 1629614, 1629650, 1630167, 1641716"
22400054,3,"1627751, 1629628, 1630534, 1630567, 1642266","1626167, 1627783, 1630169, 1631097, 1641716"
22400054,4,"1627751, 1630567, 1642347, 1642367, 1642419","204456, 1627783, 1631097"
22400055,1,"1628392, 1628983, 1629652, 1631114, 1641717","1628374, 1628381, 1629012, 1631117, 1641718"
22400055,2,"1628392, 1630198, 1630598, 1631114, 1641794","1629004, 1629234, 1630548, 1641729, 1642268"
22400055,3,"1628392, 1628983, 1629652, 1631114, 1641717","1628374, 1628381, 1629012, 1631117, 1641718"
22400055,4,"1629026, 1630198, 1630598, 1641717, 1642349","1629004, 1629234, 1630548, 1641729, 1642268"
22400056,1,"202681, 202691, 1629023, 1629029, 1641726","1628991, 1629630, 1629634, 1630217, 1642377"
22400056,2,"202691, 1629023, 1629029, 1629656, 1641726","203935, 1628379, 1628991, 1629630, 1629634"
22400056,3,"202681, 202691, 1629023, 1629029, 1641726","1628991, 1629630, 1629634, 1630217, 1642377"
22400056,4,"202681, 202691, 1629023, 1629029, 1629655","203935, 1628991, 1629630, 1629634, 1631222"
22400057,1,"201142, 203078, 1626145, 1626164, 1642345","101108, 203084, 1630577, 1641705, 1642264"
22400057,2,"201142, 203078, 203486, 1626220, 1628960","101108, 203084, 1630577, 1631110, 1641705"
22400057,3,"203078, 1626145, 1626164, 1628960, 1642345","101108, 203084, 1630577, 1641705, 1642264"
22400057,4,"203486, 1626164, 1626220, 1628420, 1642346","101108, 203084, 1630577, 1631110, 1641705"
22400058,1,"203932, 203999, 1627750, 1629008, 1631128","201939, 203952, 1626172, 1630228, 1641764"
22400058,2,"201566, 1629008, 1630192, 1631124, 1631212","201939, 1626172, 1627741, 1627780, 1630228"
22400058,3,"203932, 203999, 1627750, 1629008, 1631128","201939, 203952, 1626172, 1630228, 1641764"
22400058,4,"201566, 203932, 1627750, 1631124, 1631212","201939, 203937, 1627780, 1630541, 1631218"
22400059,1,"201942, 1627734, 1628368, 1628370, 1631099","1627832, 1628415, 1630224, 1630578, 1631095"
22400059,2,"203109, 1628368, 1628989, 1631099, 1642403","1630578, 1631095, 1631106, 1641708, 1642263"
22400059,3,"201942, 1627734, 1628368, 1628370, 1631099","1627832, 1628415, 1630224, 1630578, 1631095"
22400059,4,"203109, 1627734, 1628368, 1628989, 1631099, 1642403","1628988, 1630578, 1631095, 1631106, 1642263"
22400060,1,"201935, 1626181, 1627739, 1627826, 1627884","203924, 1629014, 1629028, 1631101, 1641739"
22400060,2,"201587, 1628964, 1629599, 1629611, 1641757","1630166, 1630625, 1631101, 1631133, 1641712"
22400060,3,"201935, 1626181, 1627739, 1627826, 1627884","203924, 1629014, 1629028, 1631101, 1641739"
22400060,4,"201587, 201935, 1626181, 1627826, 1629599, 1641757","203924, 1629014, 1629028, 1630166, 1631101, 1641739"
22400061,1,"201143, 201950, 1627759, 1628369, 1628401","1626157, 1628384, 1628404, 1628969, 1628973"
22400061,2,"201143, 201950, 1627759, 1630214, 1630573","1626157, 1626166, 1628384, 1630540, 1642359"
22400061,3,"201143, 201950, 1627759, 1628369, 1628401","1626157, 1628384, 1628404, 1628969, 1628973"
22400061,4,"201143, 201950, 1627759, 1630214, 1630573","1626166, 1628384, 1628969, 1630540, 1630579"
22400062,1,"2544, 203076, 1626156, 1629060, 1630559","201144, 203497, 203944, 1630162, 1630183"
22400062,2,"2544, 1626156, 1629060, 1629637, 1642261","201144, 203944, 1628978, 1629638, 1629675"
22400062,3,"2544, 203076, 1626156, 1629060, 1630559","201144, 203497, 203944, 1630162, 1630183"
22400062,4,"2544, 1626156, 1629060, 1629637, 1642261","201144, 203497, 1629638, 1629675, 1630183"
22400063,1,"202699, 203501, 1630595, 1631093, 1631105","1626167, 1627783, 1629614, 1630169, 1630174"
22400063,2,"1627736, 1631093, 1631105, 1631323, 1641842","204456, 1626167, 1630167, 1631097, 1641716"
22400063,3,"202699, 203501, 1630595, 1631093, 1631105","1626167, 1627783, 1629614, 1630169, 1630174"
